CLIS00900V;ELIO VITTORINI;GELA;www.liceovittorinigela.edu.it;
ANPS010009;ENRICO MEDI;SENIGALLIA;http://www.liceoenricomedi.edu.it;
CRIS009009;GALILEO GALILEI;CREMA;galileicrema.edu.it;
MIIS01400D;G. TORNO;CASTANO PRIMO;http://www.istitutotorno.edu.it;
PGIS00200P;RAFFAELE CASIMIRI;GUALDO TADINO;https://www.iiscassimiri.edu.it;
PITD03000R;ENRICO FERMI;PONTEDERA;www.itcgfermi.edu.it;
BGPS02000G;FILIPPO LUSSANA;BERGAMO;http://www.liceolussana.edu.it;
SAIS059003;ASSTEAS;BUCCINO;http://IISASSTEAS.GOV.IT;
NATF130009;FERMI - GADDA;NAPOLI;http://www.polotecnicofermigadda.edu.it;
CEPS01000C;GALILEO GALILEI;MONDRAGONE;https://www.liceogalileimondragone.edu.it;
