istituto,denominazione,comune,source,found_url
TOPS10000T,ISACCO NEWTON,CHIVASSO,Unica Portal,https://unica.istruzione.gov.it/cercalatuascuola/istituti/TOPS10000T/ptof/
TNCF005001,OPERA ARMIDA BARELLI - ROVERETO,ROVERETO,DIRECT_ACCESS,NOT_FOUND
TEIS012009,DELFICO - MONTAUTI,TERAMO,Unica Portal,https://unica.istruzione.gov.it/cercalatuascuola/istituti/TEIS012009/ptof/
RMIC8C600P,VIA MATTEOTTI,CAVE,Unica Portal,https://unica.istruzione.gov.it/cercalatuascuola/istituti/RMIC8C600P/ptof/
NAIC80800G,BONGHI,NAPOLI,DIRECT_ACCESS,NOT_FOUND
AGPC010001,EMPEDOCLE,AGRIGENTO,Unica Portal,https://unica.istruzione.gov.it/cercalatuascuola/istituti/AGPC010001/ptof/
KRIS00400C,GIUSEPPE GANGALE,CIRÒ MARINA,Unica Portal,https://unica.istruzione.gov.it/cercalatuascuola/istituti/KRIS00400C/ptof/
MIIC8DB00D,DON MILANI,NOVATE MILANESE,Unica Portal,https://unica.istruzione.gov.it/cercalatuascuola/istituti/MIIC8DB00D/ptof/
CHIC80700E,P. D. POLLIDORI,FOSSACESIA,Unica Portal,https://unica.istruzione.gov.it/cercalatuascuola/istituti/CHIC80700E/ptof/
FGIC85400C,DIREZIONE DIDATTICA + PASCOLI,MARGHERITA DI SAVOIA,DIRECT_ACCESS,NOT_FOUND
RMPL355003,MONS. TOZZI,ROMA,Unica Portal,https://unica.istruzione.gov.it/cercalatuascuola/istituti/RMPL355003/ptof/
UD1M00600L,G. BEARZI,UDINE,Unica Portal,https://unica.istruzione.gov.it/cercalatuascuola/istituti/UD1M00600L/ptof/
NA1MU75009,MATER DEI,NAPOLI,Unica Portal,https://unica.istruzione.gov.it/cercalatuascuola/istituti/NA1MU75009/ptof/
RAIC82800B,INTERCOMUNALE RAVENNA/CERVIA,RAVENNA,Unica Portal,https://unica.istruzione.gov.it/cercalatuascuola/istituti/RAIC82800B/ptof/
PATDEE500L,NICCOLO' MACHIAVELLI,PALERMO,Unica Portal,https://unica.istruzione.gov.it/cercalatuascuola/istituti/PATDEE500L/ptof/
CSPS18000D,LICEO SCIENTIFICO - LINGUISTICO PITAGORA,RENDE,Unica Portal,https://unica.istruzione.gov.it/cercalatuascuola/istituti/CSPS18000D/ptof/
TNIC85500V,ROVERETO SUD,ROVERETO,Unica Portal,https://unica.istruzione.gov.it/cercalatuascuola/istituti/TNIC85500V/ptof/
CRIC817004,LUIGI CHIESA,SPINO D'ADDA,Unica Portal,https://unica.istruzione.gov.it/cercalatuascuola/istituti/CRIC817004/ptof/
RMIC80600V,VIA DELLE SETTECHIESE,ROMA,Unica Portal,https://unica.istruzione.gov.it/cercalatuascuola/istituti/RMIC80600V/ptof/
SRTL49500I,S. QUASIMODO,SIRACUSA,Unica Portal,https://unica.istruzione.gov.it/cercalatuascuola/istituti/SRTL49500I/ptof/
FRIS01800E,ALESSANDRO VOLTA,FROSINONE,DOWNLOADED,https://www2.census.gov/geo/maps/DC2020/PL20/st49_ut/schooldistrict_maps/c49055_wayne/DC20SD_C49055.pdf,https://en.wikipedia.org/wiki/Capitol_Reef_National_Park
SOTA01000X,ISTITUTO TECNICO AGRARIO,SONDRIO,DOWNLOADED,https://varese2pellico.edu.it/wp-content/uploads/2023/07/ATTO_DI_INDIRIZZO_VARESE_2_I.C._S.PELLICO.pdf,https://varese2pellico.edu.it/
NAPM02000R,MARGHERITA DI SAVOIA,NAPOLI,NOT_FOUND,,
MOIC84800N,MODENA 10,MODENA,NOT_FOUND,,https://accounts.google.com/InteractiveLogin?service=youtube
TPIS002005,F. D'AGUIRRE- D. ALIGHIERI,SALEMI,NOT_FOUND,,https://support.tiktok.com/en/using-tiktok/creating-videos/tiktok-studio
MIIS01400D,G. TORNO,CASTANO PRIMO,NOT_FOUND,,
ISIS003002,A. GIORDANO,VENAFRO,DOWNLOADED,https://mojedane.burdamedia.pl/dokumenty/polityka_prywatnosci.pdf,https://www.national-geographic.pl/traveler/kierunki/miejsca-ktore-warto-zobaczyc-25-destynacji-ktore-trzeba-umiescic-na-podrozniczej-liscie/
CSIS06800L,IIS CARIATI LS - IPSC-IPSIA-ITI,CARIATI,NOT_FOUND,,
VAIS003001,CITTÀ DI LUINO - CARLO VOLONTÈ,LUINO,NOT_FOUND,,
VAPLVL5003,COLLEGIO ROTONDI,GORLA MINORE,NOT_FOUND,,https://www.treccani.it/vocabolario/collegio/
