code,status,url
CSIS06800L,NOT_FOUND,
VAIS003001,NOT_FOUND,
LEIC887006,NOT_FOUND,
BG1M02700A,DOWNLOADED,https://www.aziendaisola.it/public/PIANO+TRIENNALE+ISOLA+aggiornamento+del+30+marzo+2023.pdf
VRIS01200T,NOT_FOUND,
VCRH040008,FAILED,https://ww2.gazzettaamministrativa.it/opencms/export/sites/default/_gazzetta_amministrativa/amministrazione_trasparente/_agenzie_enti_stato/_istituto_nazionale_di_oceanografia_e_di_geofisica_sperimentale/010_dis_gen/020_att_gen/2016/0005_Documenti_1460038782933/1510648877411_pta_concopertinaallegati_2017-2019.pdf
NARFRT500R,NOT_FOUND,
MSIC81200D,NOT_FOUND,
AGPS02000P,NOT_FOUND,
SITF020002,DOWNLOADED,https://www.istruzionepotenza.it/wp-content/uploads/2021/10/A040-IIS-TITO-SARROCCHI-SIENA.pdf
NAPS36000R,DOWNLOADED,https://www.liceourbani.edu.it/archived_files/files/page_51/2_verbale_personale_ata_progetto_10_1_1a-fsepon-ca-2017-828_.pdf
VRPQ02500E,DOWNLOADED,https://www.cittametropolitana.bo.it/sanitasociale/Engine/RAServeFile.php/f/Pianidizona/piani/PIANO_TRIENNALE_D_BO_14_04_09.pdf
RCIC81400P,FAILED,http://www.rcscuola.it/ufficio/archivio/atti09/Dimensionamento09_10RC.pdf
RMIC8GA002,NOT_FOUND,
TVIS01100A,NOT_FOUND,
GERI07000P,NOT_FOUND,
RM1M11200L,DOWNLOADED,http://www.scholapuerorum.org/public/download/35/documento.pdf
PZIS029003,NOT_FOUND,
REIC841008,NOT_FOUND,
PGIS00300E,FAILED,https://salvatorellimoneta.edu.it/wp-content/uploads/sites/49/2014/01/SEGNATURA_1631776524_Allegati-al-protocollo-COVID.pdf
SOIC82100B,DOWNLOADED,https://lnx.icpaesiorobici.edu.it/wp-content/uploads/2020/05/ptof-primaria.pdf
MN1M001009,DOWNLOADED,https://ordineavvocatimantova.it/images/allegati/Piano_triennale_integrato_anticorruzione_2023-2025.pdf
BOIC82700P,NOT_FOUND,
BGIC87900D,NOT_FOUND,
FEIS009004,DOWNLOADED,https://cires1.colorado.edu/jimenez-group/UsrMtgs/UsersMtg7/ie_cal_tutorial.pdf
BAIC89400E,DOWNLOADED,https://www.uspbari.it/usp/wp-content/uploads/2025/11/SECONDARIE-1-DIC-DEF_Firmato.pdf
PSIS00700A,DOWNLOADED,https://www.agrotecnici.it/IncontriEsami2024/16-04-2024-DELLA-ROVERE-URBANIA.pdf
CTMM10300P,DOWNLOADED,https://scuolaninomartoglio.edu.it/allegati/all/3317-modello-domanda-di-iscrizione-sc-sec-i-grado.pdf
MIPC09500C,DOWNLOADED,https://gonzaga-milano.it/wp-content/uploads/2022/07/PTOF_medie_ed2022_v1.pdf
RM1M09900B,DOWNLOADED,https://www.pioundicesimo.org/wp-content/uploads/2023/07/Condizioni-servizi-digitali-e-Regolamento-dispositivi-Pio-XI.pdf
PZIC88800P,NOT_FOUND,
PVIS007004,DOWNLOADED,https://www.snalsbrindisi.it/documenti/doc/decreto2.pdf
FGIC80800P,DOWNLOADED,https://www.piccolaofficina.com/file/ptof-scuoladellinfanziapiccolaofficina.pdf
BOIS02700V,DOWNLOADED,https://geometri.mi.it/wp-content/uploads/2025/06/ISTITUTI-LOMBARDIA.pdf
CRIS01600C,NOT_FOUND,
VRPLHM500A,NOT_FOUND,
PGIS017008,NOT_FOUND,
ALIS00600N,FAILED,https://ww2.gazzettaamministrativa.it/opencms/export/sites/default/_gazzetta_amministrativa/amministrazione_trasparente/_agenzie_enti_stato/_istituto_nazionale_di_oceanografia_e_di_geofisica_sperimentale/010_dis_gen/020_att_gen/2016/0005_Documenti_1460038782933/1510648877411_pta_concopertinaallegati_2017-2019.pdf
VIIS01600R,FAILED,https://www.liceo-severi.edu.it/attachments/article/1159/procedura+segnalazione+atti+bullismo-+SEVERI.pdf
