percorso2;plesso;denominazionescuola;istituto;nome_istituto;indirizzo;nome_comune;tel_segreteria;tel_dirigente;indirizzoemailscuola;strato;grado;tipo_scuola_std;territorio_std
;;IC;VTIC82500A;G. NICOLINI;VIA L. M. OLIVARES;CAPRANICA;761669085;761669085;vtic82500a@istruzione.it;nord_altro;ND;ND;Non Metropolitano
;;IC;BGIC87900D;CAROLI STEZZANO;VIA VALLINI, 23;STEZZANO;35591529;35591529;bgic87900d@istruzione.it;nord_altro;ND;ND;Non Metropolitano
;;IC;PEIC83300G;PESCARA 3;VIA REGINA ELENA, 135;PESCARA;854210474;854210474;peic83300g@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC;FGIC85400C;DIREZIONE DIDATTICA + PASCOLI;VIA AFRICA ORIENTALE, 32;MARGHERITA DI SAVOIA;883654396;883654396;lucarusso61@virgilio.it;sud_altro;ND;ND;Non Metropolitano
;;IC;MBIC8AM00E;FILIPPO DE PISIS;VIA VITTORIO VENETO, 54;BRUGHERIO;392873352;392873352;mbic8am00e@istruzione.it;nord_altro;ND;ND;Non Metropolitano
;;IC;CTMM10300P;NINO MARTOGLIO;VIA SCUOLA MEDIA, SNC;BELPASSO;95912381;957053036;ctmm10300p@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;RCIC81400P;SAN LUCA - BOVALINO;CORSO MATTEOTTI, 2;SAN LUCA;964985054;965782221;rcic81400p@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;SSIC80600X;BUDDUSÒ;VIA COMM. FUMU;BUDDUSÒ;79714035;785373218;ssic80600x@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;CHIC80700E;P. D. POLLIDORI;PIAZZA FANTINI, 1;FOSSACESIA;87260190;87260190;chic80700e@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;NAIC8CM004;58 - J. F. KENNEDY;VIA MONTE ROSA, 149;NAPOLI;815438314;817374452;naic8cm004@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC;PSIC83500A;MICHELINI TOCCI;PIAZZA SAN FRANCESCO, 5;CAGLI;0721 787337 787045;721787683;psic83500a@istruzione.it;nord_altro;ND;ND;Non Metropolitano
;;IC;NAIC8G300P;NA 55 I.C. PISCICELLI - MAIURI;VIA PISCICELLI, 37;NAPOLI;815781766;815781766;naic8g300p@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC;MIIC8DB00D;DON MILANI;VIA BARANZATE, 8;NOVATE MILANESE;02 38201592;02 38201592;miic8db00d@istruzione.it;nord_altro;ND;ND;Non Metropolitano
;;IC;NA1MU75009;MATER DEI;PIAZZETTA MATERDEI, 10;NAPOLI;8119560964;818811010;istitutoparitariomaterdei@virgilio.it;sud_metro;ND;ND;Metropolitano
licei_trad;MOPS01801C;F.CORNI SEZ. LICEALE;MOIS018002;F. CORNI - LICEO E TECNICO;LARGO A. MORO, 25;MODENA;59400700;59400700;MOIS018002@istruzione.it;licei_trad_nord_metro;II Grado;Liceo;Metropolitano
IT;BGTD02301X;"""SERAFINO RIVA""";BGIS02300N;SERAFINO RIVA;VIA CORTIVO, 30/32;SARNICO;35914290;35914290;BGIS02300N@istruzione.it;IT_nord_altro;II Grado;Tecnico;Non Metropolitano
IP;CLRH009013;IP SERV.L'ENOGASTRON. L'OSPITALITA ALBER;CLIS00900V;IIS SEN. ANGELO DI ROCCO;VIA LEONE XIII, 64;CALTANISSETTA;934591250;934591280;CLIS00900V@istruzione.it;IP_sud_metro;II Grado;Professionale;Metropolitano
IT;MOTD01000L;A. BAGGI;MOTD01000L;A. BAGGI;VIA S. LUCA;SASSUOLO;536803122;565915148;MOTD01000L@istruzione.it;IT_nord_altro;II Grado;Tecnico;Non Metropolitano
