percorso2;plesso;denominazionescuola;istituto;nome_istituto;indirizzo;nome_comune;tel_segreteria;tel_dirigente;indirizzoemailscuola;strato
NA;NA;IC ;RMIC8GA002;VIA P. STABILINI;VIA P. STABILINI, 19;ROMA;672970371;67221968;rmic8ga002@istruzione.it;nord_metro
NA;NA;IC ;LEIC887006;POLO 1;PIAZZA FORTUNATO CESARI, 14;GALATINA;836566035;836566035;leic887006@istruzione.it;sud_altro
NA;NA;IC ;NAIC89900V;TERESA CONFALONIERI;VICO SS. FILIPPO E GIACOMO - VICO SAN SEVERINO;NAPOLI;815517035;815517035;naic89900v@istruzione.it;sud_metro
NA;NA;IC ;RMIC8FA00B;VIA CASALE DEL FINOCCHIO;VIA CASALE DEL FINOCCHIO, 56;ROMA;06 20764796;06 20764796;rmic8fa00b@istruzione.it;nord_metro
NA;NA;IC ;RAIC82800B;N. 1 - INTERCOMUNALE RAVENNA/CERVIA;VIA MARTIRI FANTINI, 46;RAVENNA;544951728;438451624;raic82800b@istruzione.it;nord_metro
NA;NA;IC ;MOIC84900D;IC2 RAVARINO;VIA ROMA, 173/B;RAVARINO;59800880;NA;direzione@ic2ravarino.edu.it;nord_altro
NA;NA;IC ;TRMM045005;L. DA VINCI E O. NUCULA;VIA LUIGI LANZI, 15;TERNI;744402156;744402156;trmm045005@istruzione.it;nord_metro
NA;NA;IC ;NAIC8F100C;VILLA FLEURENT - NA 20;CALATA CAPODICHINO, 211/A;NAPOLI;0817800700 5990161;3,93E+11;naic8f100c@istruzione.it;sud_metro
NA;NA;IC ;MSIC81200D;MASSA 6;PIAZZA ALBANIA, 7;MASSA;585833924;58542079;msic81200d@istruzione.it;nord_metro
NA;NA;IC ;CLIC81800D;L. DA VINCI;VIA CONCETTO MARCHESI, 11;MUSSOMELI;934951239;934951239;clic81800d@istruzione.it;sud_altro
NA;NA;IC ;NA1M008005;SUORE FRANCESCANE ADORATRICI CROCE;VIA NUOVA P. LUDOVICO, 26;CASORIA;081 7571335;817571335;istitutovelotti@tin.it;sud_altro
NA;NA;IC ;FGIC86200B;CATALANO + MOSCATI;VIA MARIO ALTAMURA - PARCO SAN FELICE;FOGGIA;881746552;881746552;fgic86200b@istruzione.it;sud_metro
NA;NA;IC ;CRIC817004;LUIGI CHIESA;VIA UNGARETTI, 38;SPINO D'ADDA;0373 980272;0373 980272;didattica@icspinodadda.edu.it;nord_altro
NA;NA;IC ;PAIC87200Q;PADRE PINO PUGLISI;VIA FRANCESCO PANZERA, 28;PALERMO;916307402;3936303798;paic87200q@istruzione.it;sud_metro
NA;NA;IC ;BAIC818001;MASSARI - GALILEI;VIA DANIELE PETRERA, 80;BARI;808653300;805566662;baic818001@istruzione.it;sud_metro
IP;PZRA029013;"I.P.S.A.S.R. ""G.FORTUNATO"" GENZANO DI L.";PZIS029003;E. MAJORANA;VIA G. PENNELLA;GENZANO DI LUCANIA;0971 774136;971774136;PZIS029003@istruzione.it;IP_sud_altro
licei_altro;LEPM01000Q;"LICEO ""P. SICILIANI""";LEPM01000Q;LICEO PIETRO SICILIANI;VIA DI LEUCA, 2/L;LECCE;0832 246020 - 0832241707;832246020;LEPM01000Q@istruzione.it;licei_altro_sud_metro
licei_trad;AGPC010001;LICEO CLASSICO - EMPEDOCLE;AGPC010001;EMPEDOCLE;VIA EMPEDOCLE;AGRIGENTO;92220335;92220335;AGPC010001@istruzione.it;licei_trad_sud_metro
licei_trad;PAPC030004;MELI;PAPC030004;GIOVANNI MELI;VIA S. ALDISIO, 2;PALERMO;916884720;916143417;PAPC030004@istruzione.it;licei_trad_sud_metro
IT;PATD03801P;"I.T. ECONOMICO E TURISMO ""PIO LA TORRE""";PAIS03800C;PIO LA TORRE;VIA NINA SICILIANA, 22;PALERMO;091 6521539;916521539;PAIS03800C@istruzione.it;IT_sud_metro
licei_altro;RMPL085008;LICEO LINGUISTICO KENNEDY;RMPL085008;KENNEDY;VIA GIOSUE CARDUCCI, 2;ROMA;66796652;66796652;info@kennedyscuola.it;licei_altro_nord_metro
licei_altro;AGPS02000P;LICEO SCIENTIFICO - ENRICO FERMI;AGPS02000P;ENRICO FERMI;VIA PARMA, 1;SCIACCA;92585103;92521061;AGPS02000P@istruzione.it;licei_altro_sud_altro
licei_trad;CZPS002018;LS GIRIFALCO -I.S.-;CZIS00200T;ETTORE MAJORANA;VIA XXV APRILE;GIRIFALCO;0968 749233;968749233;CZIS00200T@istruzione.it;licei_trad_sud_altro
