istituto;nome;citta
FGIC85400C;DIREZIONE DIDATTICA + PASCOLI;MARGHERITA DI SAVOIA
MBIC8AM00E;FILIPPO DE PISIS;BRUGHERIO
CTMM10300P;NINO MARTOGLIO;BELPASSO
RCIC81400P;SAN LUCA - BOVALINO;SAN LUCA
SSIC80600X;BUDDUSÃ;BUDDUSÃ
CHIC80700E;P. D. POLLIDORI;FOSSACESIA
NAIC8CM004;58 - J. F. KENNEDY;NAPOLI
PSIC83500A;MICHELINI TOCCI;CAGLI
NAIC8G300P;NA 55 I.C. PISCICELLI - MAIURI;NAPOLI
MIIC8DB00D;DON MILANI;NOVATE MILANESE
NA1MU75009;MATER DEI;NAPOLI
MOIS018002;F. CORNI - LICEO E TECNICO;MODENA
BGIS02300N;SERAFINO RIVA;SARNICO
CLIS00900V;IIS SEN. ANGELO DI ROCCO;CALTANISSETTA
MOTD01000L;A. BAGGI;SASSUOLO
ROPM01000Q;CELIO - ROCCATI;ROVIGO
TNIS013001;ITT BUONARROTI;TRENTO
GEIS01400Q;IIS ITALO CALVINO;GENOVA
BORC10500R;BEATA VERGINE DI SAN LUCA;BOLOGNA
VAPLVL5003;COLLEGIO ROTONDI;GORLA MINORE
ALIS00600N;VINCI-NERVI-FERMI;ALESSANDRIA
ISIS003002;A. GIORDANO;VENAFRO
PTIS003006;ENRICO FERMI;SAN MARCELLO PITEGLIO
LUIS00400Q;ISI GARFAGNANA;CASTELNUOVO DI GARFAGNANA
MIIS08900V;PUECHER - A. OLIVETTI;RHO
BRPC04000P;MARZOLLA - LEO - SIMONE - DURANO;BRINDISI
SAIS07200D;G. B. VICO;NOCERA INFERIORE
VCRH040008;G. PASTORE;VARALLO
ALTF01000R;ALESSANDRO VOLTA;ALESSANDRIA
MIPC09500C;GONZAGA;MILANO
LEIS04200R;I.I.S.S.GALILEI - COSTA - SCARAMBONE;LECCE
ROIS012001;FERRUCCIO VIOLA - GIUSEPPE MARCHESINI;ROVIGO
VAIS02600N;L. GEYMONAT;TRADATE
AQPM01000G;B. CROCE;AVEZZANO
GRIS01200Q;POLO ISTRUZIONE SUPERIORE;GROSSETO
SOTA01000X;ISTITUTO TECNICO AGRARIO;SONDRIO
RCIS01600E;ISTITUTO SUPERIORE "EUCLIDE";BOVA MARINA
TOIC8AB00N;IVREA II;IVREA
MOIC84800N;MODENA 10;MODENA
TAIC80300X;L. PIRANDELLO;TARANTO
TN1M001004;IST. SALESIANO S. CROCE;MEZZANO
CEIC87400L;SAN MARCELLINO CENTRO;SAN MARCELLINO
SAIC8A700R;GENNARO BARRA;SALERNO
TOIC8A100T;VITTORINO DA FELTRE - FERMI;TORINO
