istituto;denominazione;tipo_scuola;grado;area;tipo_territorio;original_file;status
VTIC82500A;G. NICOLINI;;Primo Grado;Nord;Non Metropolitano;VTIC82500A_G_NICOLINI.pdf;PTOF
TOPC10500T;MAURILIO FOSSATI;licei_trad;;Nord;Non Metropolitano;TOPC10500T_MAURILIO_FOSSATI.pdf;Non-PTOF (Keywords not found)
MIRFHT500U;BARBARA MELZI;IP;;Nord;Non Metropolitano;MIRFHT500U_BARBARA_MELZI.pdf;Non-PTOF (Text not extracted (scanned PDF?))
RM1M074003;S. GIOVANNI BATTISTA;;Primo Grado;Nord;Metropolitano;RM1M074003_S_GIOVANNI_BATTISTA.pdf;Non-PTOF (Keywords not found)
VR1M00800G;ALLE STIMATE;;;Nord;Metropolitano;VERONA_VR1M00800G.pdf;PTOF
AGIS018009;GIUDICI SAETTA E LIVATINO;licei_altro;;Sud;Non Metropolitano;AGIS018009_GIUDICI_SAETTA_E_LIVATINO.pdf;PTOF
MIPC10500T;LEONE XIII;licei_trad;;Nord;Metropolitano;MIPC10500T_LEONE_XIII.pdf;PTOF
MIPC09500C;GONZAGA;licei_altro;;Nord;Metropolitano;MILANO_MIPC09500C.pdf;Non-PTOF (Keywords not found)
VIPS08000D;L.S. DA VINCI ARZIGNANO;licei_altro;;Nord;Non Metropolitano;VIPS08000D_LS_DA_VINCI_ARZIGNANO.pdf;PTOF
MIPC10500T;LEONE XIII;licei_trad;;Nord;Metropolitano;MILANO_MIPC10500T.pdf;PTOF
PAPM04000V;LICEO REGINA MARGHERITA;licei_altro;;Sud;Metropolitano;PALERMO_PAPM04000V.pdf;PTOF
TN1M001004;IST. SALESIANO S. CROCE;;;Nord;Non Metropolitano;MEZZANO_TN1M001004.pdf;PTOF
TN1M001004;IST. SALESIANO S. CROCE;;;Nord;Non Metropolitano;TN1M001004_IST_SALESIANO_S_CROCE.pdf;PTOF
BORC10500R;BEATA VERGINE DI SAN LUCA;IP;;Nord;Metropolitano;BOLOGNA_BORC10500R.pdf;PTOF
MIPC09500C;GONZAGA;licei_altro;;Nord;Metropolitano;MIPC09500C_GONZAGA.pdf;Non-PTOF (Keywords not found)
AGIS018009;GIUDICI SAETTA E LIVATINO;licei_altro;;Sud;Non Metropolitano;RAVANUSA_AGIS018009.pdf;PTOF
VIPS08000D;L.S. DA VINCI ARZIGNANO;licei_altro;;Nord;Non Metropolitano;ARZIGNANO_VIPS08000D.pdf;PTOF
RM1M074003;S. GIOVANNI BATTISTA;;Primo Grado;Nord;Metropolitano;ROMA_RM1M074003.pdf;Non-PTOF (Keywords not found)
VR1M00800G;ALLE STIMATE;;;Nord;Metropolitano;VR1M00800G_ALLE_STIMATE.pdf;PTOF
BORC10500R;BEATA VERGINE DI SAN LUCA;IP;;Nord;Metropolitano;BORC10500R_BEATA_VERGINE_DI_SAN_LUCA.pdf;PTOF
PAPM04000V;LICEO REGINA MARGHERITA;licei_altro;;Sud;Metropolitano;PAPM04000V_LICEO_REGINA_MARGHERITA.pdf;PTOF
TOPC10500T;MAURILIO FOSSATI;licei_trad;;Nord;Non Metropolitano;RIVOLI_TOPC10500T.pdf;Non-PTOF (Keywords not found)
SARA010005;AGRICOLTURA E AMBIENTE;IP;;Sud;Metropolitano;SALERNO_SARA010005.pdf;PTOF
CAIC86800V;VIA STOCCOLMA;;;Sud;Metropolitano;CAGLIARI_CAIC86800V.pdf;PTOF
BRPC04000P;MARZOLLA - LEO - SIMONE - DURANO;licei_altro;;Sud;Metropolitano;BRINDISI_BRPC04000P.pdf;PTOF
VVIC81500A;SORIANO CAL. CAPOLUOGO;;;Sud;Non Metropolitano;SORIANO_CALABRO_VVIC81500A.pdf;PTOF
TOIC8AB00N;IVREA II;;;Nord;Non Metropolitano;IVREA_TOIC8AB00N.pdf;PTOF
PAIC888009;GIOVANNI XXIII;;;Sud;Non Metropolitano;TRABIA_PAIC888009.pdf;PTOF
PRIS00200Q;GALILEI - BOCCHIALINI;IT;;Nord;Non Metropolitano;SAN_SECONDO_PARMENSE_PRIS00200Q.pdf;PTOF
PAPC030004;GIOVANNI MELI;licei_trad;;Sud;Metropolitano;PALERMO_PAPC030004.pdf;PTOF
FRPC02500X;SAN BERNARDO;licei_trad;;Nord;Non Metropolitano;VEROLI_FRPC02500X.pdf;PTOF
TOIC8A100T;VITTORINO DA FELTRE - FERMI;;;Nord;Metropolitano;TORINO_TOIC8A100T.pdf;PTOF
SIIS00300R;SAN GIOVANNI BOSCO;IP;;Nord;Non Metropolitano;COLLE_DI_VAL_D_ELSA_SIIS00300R.pdf;PTOF
VAIS02600N;L. GEYMONAT;licei_trad;;Nord;Non Metropolitano;TRADATE_VAIS02600N.pdf;PTOF
MTIS009001;ISABELLA MORRA;IP;Secondo Grado;Sud;Metropolitano;MATERA_MTIS009001.pdf;PTOF
TAIC829004;G. SALVEMINI;;;Sud;Metropolitano;TARANTO_TAIC829004.pdf;PTOF
SRIC81900E;CARLO V;;;Sud;Non Metropolitano;CARLENTINI_SRIC81900E.pdf;PTOF
NAIC8CM004;58 - J. F. KENNEDY;;;Sud;Metropolitano;NAPOLI_NAIC8CM004.pdf;Non-PTOF (Text not extracted (scanned PDF?))
SRIC823006;I IC - PIRANDELLO;;;Sud;Non Metropolitano;CARLENTINI_SRIC823006.pdf;PTOF
RMIS02400L;I.I.S.VIA DELLE SCIENZE COLLEFERRO;licei_altro;;Nord;Non Metropolitano;COLLEFERRO_RMIS02400L.pdf;PTOF
FGIC86200B;CATALANO + MOSCATI;;;Sud;Metropolitano;FOGGIA_FGIC86200B.pdf;PTOF
MEPMEB500L;S. IGNAZIO;licei_altro;;Sud;Metropolitano;MESSINA_MEPMEB500L.pdf;PTOF
AGIS00100X;UGO FOSCOLO;licei_trad;;Sud;Non Metropolitano;CANICATTÃŒ_AGIS00100X.pdf;PTOF
MBPSIE500B;COLLEGIO S. ANTONIO - OPZIONE SCIENZE APPLICATE;licei_trad;;Nord;Non Metropolitano;BUSNAGO_MBPSIE500B.pdf;PTOF
GEIS01400Q;IIS ITALO CALVINO;licei_trad;;Nord;Metropolitano;GENOVA_GEIS01400Q.pdf;PTOF
RERF070004;I.P.S.S.I. MARIO CARRARA;IP;;Nord;Non Metropolitano;GUASTALLA_RERF070004.pdf;Non-PTOF (Text not extracted (scanned PDF?))
CHIS019001;CESARE DE TITTA - E. FERMI;licei_altro;;Sud;Non Metropolitano;LANCIANO_CHIS019001.pdf;PTOF
REPS030008;Not Found;Unknown;Unknown;Unknown;Unknown;REGGIO_NELL_EMILIA_REPS030008.pdf;PTOF
AVPS12000T;P. S. MANCINI;licei_trad;;Sud;Metropolitano;AVELLINO_AVPS12000T.pdf;Non-PTOF (Keywords not found)
AGPS02000P;ENRICO FERMI;licei_altro;Secondo Grado;Sud;Non Metropolitano;SCIACCA_AGPS02000P.pdf;Non-PTOF (Keywords not found)
BNTDHO5008;SAN GIULIANA;IT;;Sud;Non Metropolitano;FRASSO_TELESINO_BNTDHO5008.pdf;PTOF
PZIS02100C;Q. ORAZIO FLACCO;IP;;Sud;Non Metropolitano;VENOSA_PZIS02100C.pdf;PTOF
CEPS02000T;ENRICO FERMI;licei_trad;;Sud;Non Metropolitano;AVERSA_CEPS02000T.pdf;PTOF
SAIS07200D;G. B. VICO;licei_trad;;Sud;Non Metropolitano;NOCERA_INFERIORE_SAIS07200D.pdf;PTOF
TAIC80300X;L. PIRANDELLO;;;Sud;Metropolitano;TARANTO_TAIC80300X.pdf;PTOF
MBIC8AM00E;FILIPPO DE PISIS;;;Nord;Non Metropolitano;BRUGHERIO_MBIC8AM00E.pdf;PTOF
CTIS04300B;I.I.S. MARCONI - MANGANO;IT;;Sud;Metropolitano;CATANIA_CTIS04300B.pdf;PTOF
GEPMAH500O;DUCHESSA DI GALLIERA;licei_altro;Secondo Grado;Nord;Metropolitano;GENOVA_GEPMAH500O.pdf;PTOF
BSIS03800X;Not Found;Unknown;Unknown;Unknown;Unknown;CHIARI_BSIS03800X.pdf;PTOF
CSIS06700R;SAN MARCO ARGENTANO ITCG - LC;licei_trad;;Sud;Non Metropolitano;SAN_MARCO_ARGENTANO_CSIS06700R.pdf;PTOF
PTIS003006;ENRICO FERMI;licei_trad;;Nord;Non Metropolitano;SAN_MARCELLO_PITEGLIO_PTIS003006.pdf;PTOF
CAIS00200C;AZUNI;IP;;Sud;Metropolitano;CAGLIARI_CAIS00200C.pdf;PTOF
SSIC80600X;BUDDUSÒ;;;Sud;Non Metropolitano;BUDDUSO_SSIC80600X.pdf;PTOF
SAIS05700B;IIS IPSAR PIRANESI;IP;Secondo Grado;Sud;Non Metropolitano;CAPACCIO_PAESTUM_SAIS05700B.pdf;PTOF
MIIS08900V;PUECHER - A. OLIVETTI;IP;;Nord;Non Metropolitano;RHO_MIIS08900V.pdf;PTOF
VEIC81400N;UGO FOSCOLO;;;Nord;Metropolitano;VENEZIA_VEIC81400N.pdf;PTOF
FGIC85900G;PARISI DE SANCTIS;;;Sud;Metropolitano;FOGGIA_FGIC85900G.pdf;PTOF
MITF19000B;I.T.S.O.S. ALBE STEINER;licei_altro;;Nord;Metropolitano;MILANO_MITF19000B.pdf;PTOF
VTIC82500A;G. NICOLINI;;Primo Grado;Nord;Non Metropolitano;CAPRANICA_VTIC82500A.pdf;PTOF
CTIC823002;PIERO GOBETTI;;;Sud;Non Metropolitano;CALTAGIRONE_CTIC823002.pdf;PTOF
AQIS01800Q;A. BAFILE;licei_trad;;Sud;Metropolitano;L_AQUILA_AQIS01800Q.pdf;Non-PTOF (Keywords not found)
MEIS03700V;"IST. TEC. ECONOMICO ""A.M.JACI""";IP;;Sud;Metropolitano;MESSINA_MEIS03700V.pdf;PTOF
PVIS006008;Not Found;Unknown;Unknown;Unknown;Unknown;PAVIA_PVIS006008.pdf;PTOF
RGIS01300V;GALILEO FERRARIS;IP;;Sud;Metropolitano;RAGUSA_RGIS01300V.pdf;PTOF
CSIS051007;IPSSS - ITAS;IP;;Sud;Metropolitano;COSENZA_CSIS051007.pdf;PTOF
AQPM01000G;B. CROCE;licei_altro;;Sud;Non Metropolitano;AVEZZANO_AQPM01000G.pdf;PTOF
MIIC85700P;Not Found;Unknown;Unknown;Unknown;Unknown;BRUGHERIO_MIIC85700P.pdf;PTOF
CSPS18000D;LICEO SCIENTIFICO - LINGUISTICO PITAGORA;licei_altro;;Sud;Non Metropolitano;RENDE_CSPS18000D.pdf;Non-PTOF (Keywords not found)
BLIS00100B;ENRICO FERMI;IP;;Nord;Non Metropolitano;PIEVE_DI_CADORE_BLIS00100B.pdf;PTOF
AGIC848001;FRANCESCO GIORGIO;;;Sud;Non Metropolitano;LICATA_AGIC848001.pdf;PTOF
VEIC846005;FRANCESCOQUERINI;;;Nord;Metropolitano;VENEZIA_VEIC846005.pdf;PTOF
CNIC854007;PADRE G. GIROTTI - QUARTIERE PIAVE - SAN CASSIANO;;;Nord;Non Metropolitano;ALBA_CNIC854007.pdf;PTOF
ROIS012001;FERRUCCIO VIOLA - GIUSEPPE MARCHESINI;IP;;Nord;Metropolitano;ROVIGO_ROIS012001.pdf;PTOF
FEIS01400G;F.LLI TADDIA;IT;;Nord;Non Metropolitano;CENTO_FEIS01400G.pdf;PTOF
