denominazionescuola;nome_comune;istituto;sito_web;ptof_link;analisi_orientamento
G. NICOLINI;CAPRANICA;VTIC82500A;https://www.icnicolinicapranica.edu.it;LOCAL_FILE;"## 1. Popolazione scolastica

| Livello | Totale studenti | % alunni stranieri | % alunni con cittadinanza non‑italiana |
|---------|-----------------|---------------------|----------------------------------------|
| Scuola Primaria | 295 | 8,7 % | 23 % |
| Scuola Secondaria di I° grado | 300 | 14,3 % | 23 % |
| **Totale** | **595** | **23 %** | **—** |

**Opportunità**

- Alto livello di diversità culturale (23 % di alunni stranieri) → possibilità di arricchire l’offerta formativa con programmi interculturali e di alfabetizzazione.
- Presenza di alunni certificati L104/92 e L170/2010 → possibilità di sviluppare percorsi di inclusione e supporto specifico.

**Vincoli**

- Indice ESCS medio‑basso in entrambi gli ordini di scuola → necessità di risorse aggiuntive per il recupero e consolidamento delle competenze di base.
- Turnover elevato di docenti nelle scuole di Vejano → difficoltà di continuità didattica e di integrazione dei nuovi insegnanti.

---

## 2. Territorio e capitale sociale

| Paese | Caratteristiche | Servizi scolastici | Stakeholder principali |
|-------|-----------------|--------------------|------------------------|
| Capranica | Posizione lungo la via Cassia, collegamento con Roma e Viterbo | Scuolabus disponibile | Enti locali, servizi sociali, AVIS, Università, Polizia Postale, ASL, associazioni culturali |
| Vejano | Manca scuolabus | Nessun servizio | Enti locali, protezione civile, associazioni culturali, ASL |

**Opportunità**

- Collegamenti infrastrutturali favorevoli → possibilità di collaborazioni con enti esterni (università, ASL, polizia, ecc.).
- Presenza di risorse naturali (Riserva Lago di Vico, Parco Marturanum) → potenziale per attività didattiche all’aperto.

**Vincoli**

- Distanza tra plessi scolastici e assenza di scuolabus a Vejano → criticità per la mobilità degli alunni.
- Turnover docente elevato a Vejano → difficoltà di stabilità e continuità dei percorsi formativi.

---

## 3. Risorse economiche e materiali

| Sede | Strutture | Strumentazioni | Connessione internet |
|------|-----------|-----------------|----------------------|
| Capranica (I.C. “G. Nicolini”) | Laboratorio informatico, LIM in ogni aula, palestra a 500 m | Strumenti musicali (acquisto a carico famiglie) | Fibra in fase di attivazione |
| Vejano | LIM in tutte le classi, Laboratorio “Atelier Creativo”, Biblioteca Innovativa, sala arte, palestra | Strumenti musicali (acquisto a carico famiglie) | Connessione internet da migliorare (fibra necessaria) |

**Opportunità**

- Aggiornamento strutturale negli ultimi 4 anni (laboratori, LIM, arredi moderni).
- Laboratorio informatico e LIM disponibili in entrambe le sedi.

**Vincoli**

- Aule di dimensioni ridotte nella sede di Capranica → limitazioni per laboratori tematici.
- Palestra distante 500 m → difficoltà di accesso in caso di maltempo.
- Connessione internet a Vejano ancora da migliorare → necessità di attivazione fibra.

---

## 4. Risorse professionali

**Opportunità**

- Corpo docente relativamente stabile.
- Investimenti in formazione e aggiornamento, con focus su pratiche didattiche innovative e inclusive.

**Vincoli**

- Necessità di ulteriori risorse per supportare la continuità didattica in presenza di turnover docente, soprattutto a Vejano.

---

### Sintesi

L’Istituto Comprensivo “G. Nicolini” presenta numerose opportunità di crescita, soprattutto grazie alla diversità culturale degli alunni, alla collaborazione con stakeholder locali e all’aggiornamento infrastrutturale. Tuttavia, le principali criticità riguardano la mobilità degli studenti (assenza di scuolabus a Vejano), la dimensione delle aule e la qualità della connessione internet, oltre al turnover docente nelle scuole di Vejano. Per massimizzare i risultati, sarà fondamentale:

1. **Potenziare la mobilità** (es. scuolabus a Vejano, soluzioni di trasporto condiviso).
2. **Ottimizzare gli spazi** (ristrutturazione aule, integrazione palestra).
3. **Migliorare la connettività** (attivazione fibra a Vejano).
4. **Sostenere la stabilità docente** (piani di fidelizzazione, incentivi per il trasferimento tra plessi).

Con queste azioni, l’Istituto potrà sfruttare al meglio le sue risorse e garantire un percorso educativo inclusivo e di qualità per tutti gli alunni."
CAROLI STEZZANO;STEZZANO;BGIC87900D;https://www.iccaroli.edu.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
PESCARA 3;PESCARA;PEIC83300G;http://www.istitutocomprensivope3.gov.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
FILIPPO DE PISIS;BRUGHERIO;MIIC85700P;https://www.icdepisis.edu.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
NINO MARTOGLIO;BELPASSO;CTIC8A7001;https://www.scuolaninomartoglio.edu.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
VIA P. STABILINI;ROMA;RMIC8GA002;https://www.icviastabilini.edu.it;NOT_FOUND;PTOF non scaricato
POLO 1;GALATINA;LEIC887006;https://www.primopologalatina.edu.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
TERESA CONFALONIERI;NAPOLI;NAIC89900V;https://www.confalonierinapoli.edu.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
VIA CASALE DEL FINOCCHIO;ROMA;RMIC8FA00B;https://www.iccasaledelfinocchio.edu.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
INTERCOMUNALE RAVENNA/CERVIA;RAVENNA;RAIC82800B;https://www.icravennacervia.edu.it;NOT_FOUND;PTOF non scaricato
