tema,regione,provincia,scuola,codice_meccanografico,ordine_grado,tipo_scuola,categoria,titolo,ambiti_attivita
Cittadinanza e Legalità,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Metodologie Didattiche Innovative,Educazione Civica Strutturata,Cittadinanza e Legalità
Orientamento,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Progetti e Attività Esemplari,Distribuzione Materiale Orientamento Universitario,Orientamento
Orientamento,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Progetti e Attività Esemplari,Incontri con Alumni Universitari,Orientamento
Orientamento,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Progetti e Attività Esemplari,Conferenze con Professionisti del Territorio,Orientamento
Orientamento,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Azioni di Sistema e Governance,Centro di Orientamento Scolastico,Orientamento
Orientamento,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Progetti e Attività Esemplari,Curriculum dello Studente,Orientamento
Orientamento,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Progetti e Attività Esemplari,Moduli Interdipartimentali di Orientamento,Orientamento
PCTO/Alternanza; Cittadinanza e Legalità,Lazio,Roma,Via Delle Sette Chiese 259,RMIS01600N,II Grado,"I Grado, Liceo",Esperienze Territoriali Significative,PCTO presso poli museali,PCTO/Alternanza | Cittadinanza e Legalità
Digitalizzazione; Orientamento,Lazio,Roma,Via Delle Sette Chiese 259,RMIS01600N,II Grado,"I Grado, Liceo",Progetti e Attività Esemplari,Progetto InnovativaMente - Ambienti di apprendimento innovativi,Digitalizzazione | Orientamento
Digitalizzazione; Orientamento,Lazio,Roma,Via Delle Sette Chiese 259,RMIS01600N,II Grado,"I Grado, Liceo",Progetti e Attività Esemplari,Laboratorio polifunzionale per professioni digitali,Digitalizzazione | Orientamento
Lingue Straniere; Orientamento,Lazio,Roma,Via Delle Sette Chiese 259,RMIS01600N,II Grado,"I Grado, Liceo",Progetti e Attività Esemplari,Corsi di Certificazione Linguistica Internazionale,Lingue Straniere | Orientamento
Lingue Straniere; Orientamento,Lazio,Roma,Via Delle Sette Chiese 259,RMIS01600N,II Grado,"I Grado, Liceo",Partnership e Collaborazioni Strategiche,Accordo con Cambridge International Examinations,Lingue Straniere | Orientamento
Orientamento; Altro,Lazio,Roma,Via Delle Sette Chiese 259,RMIS01600N,II Grado,"I Grado, Liceo",Progetti e Attività Esemplari,Moduli di Orientamento Formativo,Orientamento | Altro
Intercultura e Lingue; Orientamento,Lazio,Roma,Via Delle Sette Chiese 259,RMIS01600N,II Grado,"I Grado, Liceo",Partnership e Collaborazioni Strategiche,Diplomacy Education con Global Action,Intercultura | Orientamento
Orientamento; Digitalizzazione,Lazio,Roma,Via Delle Sette Chiese 259,RMIS01600N,II Grado,"I Grado, Liceo",Metodologie Didattiche Innovative,Educazione Finanziaria con LUMSA,Orientamento | Digitalizzazione
Orientamento; Sostenibilità e Ambiente,Lazio,Roma,Via Delle Sette Chiese 259,RMIS01600N,II Grado,"I Grado, Liceo",Esperienze Territoriali Significative,La Scuola Vive il Territorio con Polaris,Orientamento | Sostenibilità e Ambiente
STEM e Ricerca; Orientamento,Lazio,Roma,Via Delle Sette Chiese 259,RMIS01600N,II Grado,"I Grado, Liceo",Progetti e Attività Esemplari,Didattica Laboratoriale Scienze Naturali,STEM e Ricerca | Orientamento
Orientamento; Inclusione e BES,Lazio,Roma,Via Delle Sette Chiese 259,RMIS01600N,II Grado,"I Grado, Liceo",Partnership e Collaborazioni Strategiche,Collaborazione con Scuola Polo per l’Inclusione e CFP 'S. Tosi',Orientamento | Inclusione e BES
Lingue Straniere; Orientamento,Lazio,Roma,Ic Via P. Stabilini,RMIC8GA002,"I Grado, II Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria, Professionale",Metodologie Didattiche Innovative,Applicazione del metodo CLIL per potenziamento linguistico,Lingue Straniere | Orientamento
Cittadinanza e Legalità,Lazio,Roma,Ic Via P. Stabilini,RMIC8GA002,"I Grado, II Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria, Professionale",Azioni di Sistema e Governance,Curricolo Verticale Integrato,Cittadinanza e Legalità
Cittadinanza e Legalità; Intercultura e Lingue,Lazio,Roma,Ic Via P. Stabilini,RMIC8GA002,"I Grado, II Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria, Professionale",Progetti e Attività Esemplari,Sezioni Aperte con Partecipazione Famiglie,Cittadinanza e Legalità | Intercultura
