tema,regione,provincia,scuola,codice_meccanografico,ordine_grado,tipo_scuola,categoria,titolo,ambiti_attivita
Progetti e Attività Esemplari,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Progetti e Attività Esemplari,Distribuzione Materiale Orientamento Universitario,
Progetti e Attività Esemplari,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Progetti e Attività Esemplari,Incontri con Alumni Universitari,
Azioni di Sistema e Governance,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Azioni di Sistema e Governance,Centro di Orientamento Scolastico,
Progetti e Attività Esemplari,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Progetti e Attività Esemplari,Curriculum dello Studente,
Progetti e Attività Esemplari,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Progetti e Attività Esemplari,Moduli Interdipartimentali di Orientamento,
Orientamento; Digitalizzazione; Lingue Straniere,Campania,Napoli,"L.Scient.""Carlo Urbani""San Giorgio A Cr.",NAPS36000R,II Grado,Liceo,Progetti e Attività Esemplari,Percorsi STEM e Multilinguistici Extracurriculari,Orientamento | Digitalizzazione | Lingue Straniere
Cittadinanza e Legalità; Orientamento,Campania,Napoli,"L.Scient.""Carlo Urbani""San Giorgio A Cr.",NAPS36000R,II Grado,Liceo,Metodologie Didattiche Innovative,Educazione alla Legalità e Partecipazione Democratica,Cittadinanza e Legalità | Orientamento
Lingue Straniere; Orientamento,Campania,Napoli,"L.Scient.""Carlo Urbani""San Giorgio A Cr.",NAPS36000R,II Grado,Liceo,Progetti e Attività Esemplari,Corso di Lingue Straniere Certificato,Lingue Straniere | Orientamento
Orientamento; Cittadinanza e Legalità,Campania,Napoli,"L.Scient.""Carlo Urbani""San Giorgio A Cr.",NAPS36000R,II Grado,Liceo,Azioni di Sistema e Governance,Curricolo Verticale per Continuità Educativa,Orientamento | Cittadinanza e Legalità
Matematica e Logica; Orientamento,Campania,Napoli,"L.Scient.""Carlo Urbani""San Giorgio A Cr.",NAPS36000R,II Grado,Liceo,Progetti e Attività Esemplari,Giochi di Archimede,Matematica e Logica | Orientamento
Intercultura; Orientamento,Campania,Napoli,"L.Scient.""Carlo Urbani""San Giorgio A Cr.",NAPS36000R,II Grado,Liceo,Partnership e Collaborazioni Strategiche,Progetto NERD,Intercultura | Orientamento
Lettura e Scrittura; Orientamento,Campania,Napoli,"L.Scient.""Carlo Urbani""San Giorgio A Cr.",NAPS36000R,II Grado,Liceo,Progetti e Attività Esemplari,Premio ASIMOV,Lettura e Scrittura | Orientamento
Intercultura; Digitalizzazione; Orientamento,Campania,Napoli,"L.Scient.""Carlo Urbani""San Giorgio A Cr.",NAPS36000R,II Grado,Liceo,Partnership e Collaborazioni Strategiche,Progetto Erasmus Plus,Intercultura | Digitalizzazione | Orientamento
Orientamento; Inclusione e BES,Campania,Napoli,"L.Scient.""Carlo Urbani""San Giorgio A Cr.",NAPS36000R,II Grado,Liceo,Progetti e Attività Esemplari,Sistema di Credito Scolastico Strutturato,Orientamento | Inclusione e BES
Orientamento; Digitalizzazione,Campania,Napoli,"L.Scient.""Carlo Urbani""San Giorgio A Cr.",NAPS36000R,II Grado,Liceo,Partnership e Collaborazioni Strategiche,Progetti Erasmus e Scambi Internazionali,Orientamento | Digitalizzazione
Scienze e Ricerca; Orientamento,Campania,Napoli,"L.Scient.""Carlo Urbani""San Giorgio A Cr.",NAPS36000R,II Grado,Liceo,Progetti e Attività Esemplari,Concorsi Scientifici e Certaminia,Scienze e Ricerca | Orientamento
PCTO/Alternanza; Orientamento,Campania,Napoli,"L.Scient.""Carlo Urbani""San Giorgio A Cr.",NAPS36000R,II Grado,Liceo,Progetti e Attività Esemplari,Percorsi PCTO Strutturati,PCTO/Alternanza | Orientamento
Lingue Straniere; Orientamento; Digitalizzazione,Sicilia,Agrigento,Liceo Classico - Empedocle,AGPC010001,II Grado,Liceo,Progetti e Attività Esemplari,Liceo Internazionale Cambridge,Lingue Straniere | Orientamento | Digitalizzazione
Scienze e Ricerca; Orientamento; PCTO/Alternanza,Sicilia,Agrigento,Liceo Classico - Empedocle,AGPC010001,II Grado,Liceo,Partnership e Collaborazioni Strategiche,Curvatura Biomedica con Ordini Provinciali dei Medici,Scienze e Ricerca | Orientamento | PCTO/Alternanza
Digitalizzazione; Orientamento; Imprenditorialità,Sicilia,Agrigento,Liceo Classico - Empedocle,AGPC010001,II Grado,Liceo,Progetti e Attività Esemplari,Curvatura Informatica (ITE),Digitalizzazione | Orientamento | Imprenditorialità
Orientamento; Cittadinanza e Legalità,Sicilia,Agrigento,Liceo Classico - Empedocle,AGPC010001,II Grado,Liceo,Esperienze Territoriali Significative,PCTO Archivio Storico del Carcere San Vito,Orientamento | Cittadinanza e Legalità
Lingue Straniere; Orientamento,Sicilia,Agrigento,Liceo Classico - Empedocle,AGPC010001,II Grado,Liceo,Progetti e Attività Esemplari,Certificazione Linguistica con Trinity College e Cambridge,Lingue Straniere | Orientamento
Orientamento; Esperienze Territoriali Significative,Sicilia,Agrigento,Liceo Classico - Empedocle,AGPC010001,II Grado,Liceo,Progetti e Attività Esemplari,ArcheoExperience nell'Isola dei Tesori,Orientamento | Esperienze Territoriali Significative
Orientamento; Cittadinanza e Legalità,Sicilia,Agrigento,Liceo Classico - Empedocle,AGPC010001,II Grado,Liceo,Partnership e Collaborazioni Strategiche,Collaborazione con Fondazione Mondoaltro Onlus,Orientamento | Cittadinanza e Legalità
Arte e Creatività; Orientamento,Sicilia,Agrigento,Liceo Classico - Empedocle,AGPC010001,II Grado,Liceo,Progetti e Attività Esemplari,Teatro Pirandelliano e Dimensione Internazionale,Arte e Creatività | Orientamento
Orientamento; Cittadinanza e Legalità,Sicilia,Agrigento,Liceo Classico - Empedocle,AGPC010001,II Grado,Liceo,Progetti e Attività Esemplari,Model United Nations Experience,Orientamento | Cittadinanza e Legalità
Arte e Creatività; Orientamento,Sicilia,Agrigento,Liceo Classico - Empedocle,AGPC010001,II Grado,Liceo,Progetti e Attività Esemplari,Progetto Orchestra 2024-2025,Arte e Creatività | Orientamento
Scienze e Ricerca; Orientamento,Sicilia,Agrigento,Liceo Classico - Empedocle,AGPC010001,II Grado,Liceo,Progetti e Attività Esemplari,Progetto Biomedico per IV e V ginnasiali,Scienze e Ricerca | Orientamento
Lettura e Scrittura; Orientamento,Sicilia,Agrigento,Liceo Classico - Empedocle,AGPC010001,II Grado,Liceo,Progetti e Attività Esemplari,In corsa verso i Campionati di Italiano,Lettura e Scrittura | Orientamento
Lingue Straniere; Orientamento,Sicilia,Agrigento,Liceo Classico - Empedocle,AGPC010001,II Grado,Liceo,Metodologie Didattiche Innovative,CLIL in Storia con Lingua Inglese,Lingue Straniere | Orientamento
Orientamento; Continuità e Accoglienza,Sicilia,Agrigento,Liceo Classico - Empedocle,AGPC010001,II Grado,Liceo,Progetti e Attività Esemplari,Progetto 'Le Bussole di Empedocle' per l'Orientamento,Orientamento | Continuità e Accoglienza
Scienze e Ricerca; Orientamento,Sicilia,Agrigento,Liceo Classico - Empedocle,AGPC010001,II Grado,Liceo,Progetti e Attività Esemplari,Percorso Biomedico Sperimentale,Scienze e Ricerca | Orientamento
Orientamento; Scienze e Ricerca,Sicilia,Agrigento,Liceo Classico - Empedocle,AGPC010001,II Grado,Liceo,Partnership e Collaborazioni Strategiche,Convenzione Biologia con curvatura biomedica,Orientamento | Scienze e Ricerca
Orientamento; PCTO/Alternanza,Sicilia,Catania,Marconi-Mangano,CTIS04300B,II Grado,"Professionale, Tecnico",Partnership e Collaborazioni Strategiche,Collaborazioni con Aziende per PCTO e Apprendistato,Orientamento | PCTO/Alternanza
Orientamento; Intercultura,Sicilia,Catania,Marconi-Mangano,CTIS04300B,II Grado,"Professionale, Tecnico",Progetti e Attività Esemplari,Partecipazione al Progetto Erasmus Plus,Orientamento | Intercultura
Sport e Benessere; Orientamento,Sicilia,Catania,Marconi-Mangano,CTIS04300B,II Grado,"Professionale, Tecnico",Partnership e Collaborazioni Strategiche,Certificazione Sportiva con Università di Catania e CONI,Sport e Benessere | Orientamento
Imprenditorialità; Orientamento,Sicilia,Catania,Marconi-Mangano,CTIS04300B,II Grado,"Professionale, Tecnico",Progetti e Attività Esemplari,Gestione Progetti con Standard Qualità Aziendale,Imprenditorialità | Orientamento
PCTO/Alternanza; Orientamento,Sicilia,Catania,Marconi-Mangano,CTIS04300B,II Grado,"Professionale, Tecnico",Partnership e Collaborazioni Strategiche,Convenzioni con Aziende Locali per PCTO,PCTO/Alternanza | Orientamento
Orientamento; Imprenditorialità,Sicilia,Catania,Marconi-Mangano,CTIS04300B,II Grado,"Professionale, Tecnico",Progetti e Attività Esemplari,Apprendistato Duale per Competenze Tecniche,Orientamento | Imprenditorialità
Orientamento; Digitalizzazione,Sicilia,Catania,Marconi-Mangano,CTIS04300B,II Grado,"Professionale, Tecnico",Partnership e Collaborazioni Strategiche,Partecipazione a Progetti Internazionali,Orientamento | Digitalizzazione
Orientamento; Imprenditorialità,Sicilia,Catania,Marconi-Mangano,CTIS04300B,II Grado,"Professionale, Tecnico",Progetti e Attività Esemplari,Gruppo di Placement per Orientamento in Uscita,Orientamento | Imprenditorialità
Inclusione e BES; Orientamento,Sicilia,Catania,Marconi-Mangano,CTIS04300B,II Grado,"Professionale, Tecnico",Azioni di Sistema e Governance,Monitoraggio e supporto ai tutor di classe,Inclusione e BES | Orientamento
Intercultura; Orientamento,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Progetti e Attività Esemplari,Internazionalizzazione con scambi e certificazioni linguistiche,Intercultura | Orientamento
Internazionalizzazione; Orientamento,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Partnership e Collaborazioni Strategiche,Mobilità Internazionale e Progetti Erasmus+,Internazionalizzazione | Orientamento
Orientamento; Matematica e Logica,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Metodologie Didattiche Innovative,Supporto Metodologico con Flipped Classroom e Peer Tutoring,Orientamento | Matematica e Logica
Orientamento; Continuità e Accoglienza,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Progetti e Attività Esemplari,Corsi Metodologici per Tecniche di Studio,Orientamento | Continuità e Accoglienza
Orientamento; Continuità e Accoglienza,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Partnership e Collaborazioni Strategiche,Accordi di Rete con Scuole Secondarie di I Grado,Orientamento | Continuità e Accoglienza
Orientamento; Continuità e Accoglienza,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Progetti e Attività Esemplari,Open Days e Mini-Stage per Accoglienza,Orientamento | Continuità e Accoglienza
Orientamento; Digitalizzazione,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Metodologie Didattiche Innovative,Didattica per Competenze con Compiti di Realtà,Orientamento | Digitalizzazione
Orientamento; Lingue Straniere; Scienze e Ricerca,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Progetti e Attività Esemplari,Progetto STEM e Multilinguismo con approccio interdisciplinare,Orientamento | Lingue Straniere | Scienze e Ricerca
Orientamento; Prevenzione Disagio,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Partnership e Collaborazioni Strategiche,Percorsi di mentoring con associazioni del terzo settore,Orientamento | Prevenzione Disagio
Lingue Straniere; Orientamento,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Progetti e Attività Esemplari,Certificazioni Linguistiche Internazionali,Lingue Straniere | Orientamento
PCTO/Alternanza; Orientamento,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Progetti e Attività Esemplari,Percorso PCTO Studio All'Estero,PCTO/Alternanza | Orientamento
Inclusione e BES; Orientamento,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Metodologie Didattiche Innovative,Apprendimento Cooperativo e Peer Tutoring,Inclusione e BES | Orientamento
Orientamento; Lettura e Scrittura,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Progetti e Attività Esemplari,Orientamento in Entrata con Laboratori Tematici,Orientamento | Lettura e Scrittura
Orientamento; Cittadinanza e Legalità,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Metodologie Didattiche Innovative,Peer Education e Tutoring,Orientamento | Cittadinanza e Legalità
Orientamento; Continuità e Accoglienza,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Progetti e Attività Esemplari,Orientamento in Entrata e Uscita Strutturato,Orientamento | Continuità e Accoglienza
Lingue Straniere; Orientamento,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Progetti e Attività Esemplari,Potenziamento curriculare lingua inglese,Lingue Straniere | Orientamento
PCTO/Alternanza; Orientamento,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Esperienze Territoriali Significative,PCTO con Stage e Collaborazioni Territoriali,PCTO/Alternanza | Orientamento
Imprenditorialità; Orientamento,Sicilia,Palermo,Niccolo' Machiavelli,PATDEE500L,II Grado,Liceo,Partnership e Collaborazioni Strategiche,PCTO con Junior Achievement,Imprenditorialità | Orientamento
