tema,regione,provincia,scuola,codice_meccanografico,ordine_grado,tipo_scuola,categoria,titolo,ambiti_attivita
Metodologie Didattiche Innovative,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Metodologie Didattiche Innovative,Educazione Civica Strutturata,
Progetti e Attività Esemplari,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Progetti e Attività Esemplari,Distribuzione Materiale Orientamento Universitario,
Progetti e Attività Esemplari,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Progetti e Attività Esemplari,Incontri con Alumni Universitari,
Azioni di Sistema e Governance,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Azioni di Sistema e Governance,Centro di Orientamento Scolastico,
Progetti e Attività Esemplari,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Progetti e Attività Esemplari,Curriculum dello Studente,
Progetti e Attività Esemplari,Lazio,Roma,Istruzione Superiore Via Delle Scienze,RMIS02400L,II Grado,"Liceo, Professionale, Tecnico",Progetti e Attività Esemplari,Moduli Interdipartimentali di Orientamento,
PCTO/Alternanza; Cittadinanza e Legalità,Lazio,Roma,Via Delle Sette Chiese 259,RMIS01600N,II Grado,"I Grado, Liceo",Esperienze Territoriali Significative,PCTO presso poli museali,PCTO/Alternanza | Cittadinanza e Legalità
Digitalizzazione; Orientamento,Lazio,Roma,Via Delle Sette Chiese 259,RMIS01600N,II Grado,"I Grado, Liceo",Progetti e Attività Esemplari,Progetto InnovativaMente - Ambienti di apprendimento innovativi,Digitalizzazione | Orientamento
Digitalizzazione; Orientamento,Lazio,Roma,Via Delle Sette Chiese 259,RMIS01600N,II Grado,"I Grado, Liceo",Progetti e Attività Esemplari,Laboratorio polifunzionale per professioni digitali,Digitalizzazione | Orientamento
Lingue Straniere; Orientamento,Lazio,Roma,Via Delle Sette Chiese 259,RMIS01600N,II Grado,"I Grado, Liceo",Progetti e Attività Esemplari,Corsi di Certificazione Linguistica Internazionale,Lingue Straniere | Orientamento
Lingue Straniere; Orientamento,Lazio,Roma,Via Delle Sette Chiese 259,RMIS01600N,II Grado,"I Grado, Liceo",Partnership e Collaborazioni Strategiche,Accordo con Cambridge International Examinations,Lingue Straniere | Orientamento
